name,distance,lat,lon,category,Type
Mountain View-Whisman School District,1157.0,37.411672,-122.085557,Elementary School,Standard Education
Independent Study Program School,1160.0,37.411645,-122.085484,Elementary School,Standard Education
Crittenden Middle School,1232.0,37.410937,-122.085301,Primary and Secondary School,Standard Education
Palo Alto Prep,1322.0,37.41731,-122.098179,High School,Standard Education
Monta Loma Elementary School,1520.0,37.429625,-122.098794,Elementary School,Standard Education
Khan Lab School,2826.0,37.396581,-122.08386,Private School,Private Education
Yew Chung International School,2846.0,37.400417,-122.067185,Private School,Private Education
Starbucks,922.0,37.415763,-122.077554,Coffee Shop,Starbucks
Starbucks,1055.0,37.421896,-122.096431,Coffee Shop,Starbucks
Starbucks,1462.0,37.411431,-122.094274,Coffee Shop,Starbucks
Loon,32.0,37.422339,-122.084504,Website Designer,Design Companies
Spokeo,632.0,37.416372,-122.084959,Website Designer,Design Companies
Justia,942.0,37.416,-122.076995,Website Designer,Design Companies
Seventh World,977.0,37.413854,-122.088469,Website Designer,Design Companies
Mediamorphosis,1206.0,37.417599,-122.096907,Website Designer,Design Companies
Gigya,1226.0,37.421115,-122.098606,Website Designer,Design Companies
Vayusphere,1516.0,37.42956,-122.09879,Website Designer,Design Companies
User Testing,1591.0,37.429411,-122.099927,Website Designer,Design Companies
Web Hosting,1911.0,37.40653,-122.07511,Website Designer,Design Companies
