name,distance,lat,lon,category,Type
Summit Preparatory Charter High School,409.0,37.486716,-122.210215,High School,Standard Education
Fair Oaks Elementary School,621.0,37.478828,-122.205688,Elementary School,Standard Education
Connect Community Charter School,644.0,37.478746,-122.205469,Elementary School,Standard Education
KIPP Excelencia Community Preparatory,654.0,37.478748,-122.206328,Elementary School,Standard Education
Redwood City School District,750.0,37.481865,-122.214662,Primary and Secondary School,Standard Education
Wings Learning Center,1613.0,37.482361,-122.225209,Private School,Private Education
West Bay Music Acdmy,2631.0,37.464644,-122.222913,Arts and Entertainment,Private Education
MVCode,2737.0,37.464588,-122.224984,Private School,Private Education
Discoteca Dona Leti,1009.0,37.475901,-122.209815,Night Club,Night club
Flamingos Night Club,1445.0,37.487146,-122.222977,Night Club,Night club
Hanky Panky,1567.0,37.472408,-122.215842,Night Club,Night club
Starbucks,1543.0,37.475218,-122.217719,Coffee Shop,Starbucks
Appzaar,297.0,37.484227,-122.203561,Website Designer,Design Companies
Ipedo,1580.0,37.487964,-122.224312,Website Designer,Design Companies
Planet Pooch Doggie Daycare,394.0,37.483956,-122.211203,Pet Grooming Service,Pet Grooming Service
