name,distance,lat,lon,category,Type
Stuyvesant High School,888,40.717978,-74.013896,High School,Standard Education
Ps 234 Independence School,735,40.716155,-74.01151,Elementary School,Standard Education
Pace High School,762,40.716263,-73.993662,High School,Standard Education
Emma Lazarus High School,771,40.716208,-73.993704,High School,Standard Education
Great Oaks Charter School,942,40.720036,-73.991759,Elementary School,Standard Education
Grace Church School,1937,40.73188,-73.99061,Private School,Private Education
Nord Anglia International School,1389,40.724839,-73.989678,Private School,Private Education
Holt Training Institute,1403,40.704863,-74.006349,Private School,Private Education
Leman Manhattan Prepatory School - Upper School,1476,40.705704,-74.011095,Private School,Private Education
Leman Manhattan Prepatory School- Upper School,1572,40.705951,-74.013898,Private School,Private Education
S.O.B.'s,1257,40.728357,-74.00514,Night Club,Night club
Paul's Cocktail Lounge,325,40.719413,-74.004786,Night Club,Night club
The Up and Up,1402,40.729673,-74.00039,Night Club,Night club
169 Bar,1126,40.713889,-73.989728,Night Club,Night club
Clockwork Bar,1096,40.715386,-73.990042,Night Club,Night club
The Box,1032,40.721856,-73.992267,Night Club,Night club
Village Vanguard,2080,40.736003,-74.001688,Night Club,Night club
Nublu,2007,40.722519,-73.979722,Night Club,Night club
Le Bain,2668,40.740898,-74.00817,Night Club,Night club
Down the Hatch,1681,40.732447,-74.001547,Night Club,Night club
Starbucks,175,40.715842,-74.003205,Coffee Shop,Starbucks
Starbucks,407,40.718154,-74.007443,Coffee Shop,Starbucks
Starbucks,1128,40.714207,-74.01571,Coffee Shop,Starbucks
Starbucks,383,40.714957,-74.006007,Coffee Shop,Starbucks
Starbucks,347,40.719839,-74.004978,Coffee Shop,Starbucks
Starbucks,701,40.711054,-74.004761,Coffee Shop,Starbucks
Starbucks,817,40.720643,-74.011121,Coffee Shop,Starbucks
Starbucks,173,40.718826,-74.002581,Coffee Shop,Starbucks
Starbucks,716,40.710936,-74.001178,Coffee Shop,Starbucks
Starbucks,656,40.713794,-74.009103,Coffee Shop,Starbucks
BOLD Web Agency,757,40.713279,-74.010174,Website Designer,Design Companies
Exposure,134,40.718493,-74.002917,Website Designer,Design Companies
Fueled,388,40.719972,-74.000094,Website Designer,Design Companies
The Sneakers Agency,458,40.720065,-73.998657,Website Designer,Design Companies
Nolte,473,40.71682,-73.997002,Website Designer,Design Companies
Karbyn,677,40.723346,-74.000969,Website Designer,Design Companies
Thought Media,1312,40.706765,-74.009784,Website Designer,Design Companies
Hyperlink InfoSystem,1200,40.712928,-74.013171,Website Designer,Design Companies
Blueswitch,1261,40.707115,-74.012766,Website Designer,Design Companies
MrFixed,1417,40.705728,-74.010223,Website Designer,Design Companies
Red Bamboo,1575,40.731292,-74.000367,Chinese Restaurant,Vegan
Le Botaniste,423,40.720348,-74.000153,Wine Bar,Vegan
The Butcher's Daughter,751,40.720658,-73.994708,Café,Vegan
Madison Square Garden,3801,40.750561,-73.993231,Music Venue,Stadium
The Wagging Tail,249,40.716837,-74.005501,Pet Grooming Service,Pet Grooming Service
Biscuits & Bath,527,40.71832,-74.009283,Pet Grooming Service,Pet Grooming Service
Spot,606,40.71371,-74.008227,Pet Grooming Service,Pet Grooming Service
